Student_ID,Scenario,Arrival_Rate_students_per_hour,Interarrival_Time_min,Arrival_Time_min,Arrival_Time,Service_Time_min
S001,Normal,10,0.0,0.0,08:00:00,9.51
S002,Normal,10,0.14,0.14,08:00:08,3.07
S003,Normal,10,8.72,8.86,08:08:51,3.16
S004,Normal,10,0.15,9.0,08:09:00,7.02
S005,Normal,10,18.57,27.57,08:27:34,0.69
S006,Normal,10,10.06,37.64,08:37:38,1.19
S007,Normal,10,1.72,39.36,08:39:21,5.27
S008,Normal,10,0.16,39.52,08:39:31,3.12
S009,Normal,10,17.19,56.71,08:56:42,4.67
S010,Normal,10,2.44,59.15,08:59:09,7.96
S011,Normal,10,6.94,66.09,09:06:05,1.09
S012,Normal,10,0.93,67.02,09:07:01,0.52
S013,Normal,10,8.18,75.21,09:15:12,7.26
S014,Normal,10,4.07,79.28,09:19:16,5.01
S015,Normal,10,4.12,83.39,09:23:23,8.0
S016,Normal,10,5.42,88.81,09:28:48,3.19
S017,Normal,10,5.42,94.23,09:34:13,0.19
S018,Normal,10,19.03,113.26,09:53:15,3.95
S019,Normal,10,6.46,119.72,09:59:43,3.24
S020,Normal,10,5.17,124.89,10:04:53,0.72
S021,Normal,10,12.76,137.65,10:17:39,0.11
S022,Normal,10,0.4,138.05,10:18:03,0.54
S023,Normal,10,1.6,139.65,10:19:39,3.49
S024,Normal,10,3.9,143.55,10:23:33,5.61
S025,Normal,10,1.74,145.29,10:25:17,1.14
S026,Normal,10,10.73,156.01,10:36:00,0.41
S027,Normal,10,0.97,156.98,10:36:58,2.68
S028,Normal,10,5.59,162.57,10:42:34,0.91
S029,Normal,10,0.43,163.0,10:42:59,2.99
S030,Normal,10,7.9,170.89,10:50:53,2.18
S031,Normal,10,3.62,174.52,10:54:31,4.5
S032,Normal,10,2.99,177.51,10:57:30,0.79
S033,Normal,10,2.76,180.26,11:00:15,9.47
S034,Normal,10,1.99,182.25,11:02:14,0.98
S035,Normal,10,12.32,194.57,11:14:34,3.03
S036,Normal,10,3.17,197.74,11:17:44,0.1
S037,Normal,10,25.43,223.17,11:43:09,0.69
S038,Normal,10,4.77,227.94,11:47:56,8.86
S039,Normal,10,0.8,228.74,11:48:44,5.54
S040,Normal,10,3.07,231.81,11:51:48,2.25
S041,Normal,10,1.46,233.27,11:53:16,1.18
S042,Normal,10,0.98,234.24,11:54:14,0.23
S043,Normal,10,4.35,238.6,11:58:35,17.65
S044,Normal,10,38.36,276.96,12:36:57,1.45
S045,Normal,10,6.45,283.42,12:43:25,6.35
S046,Normal,10,3.84,287.26,12:47:15,0.44
S047,Normal,10,2.21,289.47,12:49:28,2.51
S048,Normal,10,14.39,303.86,13:03:51,6.54
S049,Normal,10,3.13,306.99,13:06:59,0.61
S050,Normal,10,2.32,309.31,13:09:18,3.12
S051,Normal,10,2.73,312.03,13:12:02,3.02
S052,Normal,10,2.99,315.03,13:15:01,9.63
S053,Normal,10,1.85,316.88,13:16:52,0.13
S054,Normal,10,1.12,318.0,13:17:59,10.25
S055,Normal,10,3.1,321.1,13:21:06,0.7
S056,Normal,10,12.78,333.89,13:33:53,5.25
S057,Normal,10,11.58,345.47,13:45:28,1.05
S058,Normal,10,2.98,348.45,13:48:27,7.02
S059,Normal,10,0.68,349.13,13:49:07,3.68
S060,Normal,10,0.77,349.9,13:49:54,0.96
S061,Normal,10,8.37,358.27,13:58:16,3.34
S062,Normal,10,2.2,360.47,14:00:28,1.11
S063,Normal,10,5.94,366.41,14:06:24,7.5
S064,Normal,10,10.78,377.19,14:17:11,3.08
S065,Normal,10,4.77,381.96,14:21:57,0.7
S066,Normal,10,1.65,383.62,14:23:36,0.47
S067,Normal,10,2.09,385.7,14:25:42,9.03
S068,Normal,10,27.16,412.87,14:52:52,4.52
S069,Normal,10,3.93,416.79,14:56:47,5.5
S070,Normal,10,0.69,417.49,14:57:29,4.37
S071,Normal,10,9.35,426.84,15:06:50,1.25
S072,Normal,10,2.75,429.59,15:09:35,0.0
S073,Normal,10,9.36,438.95,15:18:56,0.51
S074,Normal,10,2.53,441.48,15:21:28,5.16
S075,Normal,10,10.15,451.64,15:31:38,10.26
S076,Normal,10,8.11,459.74,15:39:44,1.29
S077,Normal,10,13.74,473.48,15:53:28,5.17
S078,Normal,10,1.22,474.7,15:54:41,0.77
S079,Normal,10,3.48,478.18,15:58:10,4.74
S080,Normal,10,1.78,479.96,15:59:57,29.42
S081,Normal,10,6.28,486.24,16:06:14,8.16
S082,Normal,10,2.14,488.37,16:08:22,1.47
S083,Normal,10,6.11,494.48,16:14:29,5.15
S084,Normal,10,1.15,495.63,16:15:38,2.94
S085,Normal,10,1.23,496.86,16:16:51,0.1
S086,Normal,10,8.21,505.07,16:25:03,7.39
S087,Normal,10,4.81,509.87,16:29:52,8.31
S088,Normal,10,2.88,512.75,16:32:45,1.41
